concept,prefLabel,altLabels
http://www.eionet.europa.eu/gemet/concept/1530,coating,
http://www.eionet.europa.eu/gemet/concept/15300,species extinction,
http://www.eionet.europa.eu/gemet/concept/15304,sustainable fisheries,
http://www.eionet.europa.eu/gemet/concept/15312,transitional waters,
http://www.eionet.europa.eu/gemet/concept/1533,cockroach,
http://www.eionet.europa.eu/gemet/concept/15337,World Health Organization,
http://www.eionet.europa.eu/gemet/concept/15342,household waste,
http://www.eionet.europa.eu/gemet/concept/15343,indoor smoke,
http://www.eionet.europa.eu/gemet/concept/15344,Infrastructure for spatial information in Europe,INSPIRE
http://www.eionet.europa.eu/gemet/concept/15346,landfill waste flows,
http://www.eionet.europa.eu/gemet/concept/15348,policy effectiveness,
http://www.eionet.europa.eu/gemet/concept/15349,temperature change,
http://www.eionet.europa.eu/gemet/concept/15351,advection,
http://www.eionet.europa.eu/gemet/concept/15355,brown finance,
http://www.eionet.europa.eu/gemet/concept/15356,carbon-intensive asset,
http://www.eionet.europa.eu/gemet/concept/15358,citizen science,community science
http://www.eionet.europa.eu/gemet/concept/15359,Climate Action Bonds,CAB
http://www.eionet.europa.eu/gemet/concept/15360,climate benchmark,
http://www.eionet.europa.eu/gemet/concept/15361,climate-neutral economy,Net zero emissions economy;climate neutrality economy;net-zero greenhouse gas emissions economy
http://www.eionet.europa.eu/gemet/concept/15364,disinvestment,divestment
http://www.eionet.europa.eu/gemet/concept/15367,EU Green Bond label,
http://www.eionet.europa.eu/gemet/concept/15368,EU Green Bond Standard,EU GBS
http://www.eionet.europa.eu/gemet/concept/15372,green activity,green job
http://www.eionet.europa.eu/gemet/concept/15373,green supporting factor,
http://www.eionet.europa.eu/gemet/concept/15375,grey asset,
http://www.eionet.europa.eu/gemet/concept/15376,heat wave,hot spell;warm spell
http://www.eionet.europa.eu/gemet/concept/15377,low-carbon transition,
http://www.eionet.europa.eu/gemet/concept/15378,material resource efficiency,
http://www.eionet.europa.eu/gemet/concept/15380,net zero carbon,carbon neutrality;net zero CO2;net zero carbon dioxide
http://www.eionet.europa.eu/gemet/concept/15381,noise map,
http://www.eionet.europa.eu/gemet/concept/15383,quiet area,QA
http://www.eionet.europa.eu/gemet/concept/15384,risk-based change,risk-based approach to change
http://www.eionet.europa.eu/gemet/concept/15385,social bond,
http://www.eionet.europa.eu/gemet/concept/15386,sustainability risk assessment,
http://www.eionet.europa.eu/gemet/concept/15388,sustainable banking,
http://www.eionet.europa.eu/gemet/concept/15389,sustainable finance,
http://www.eionet.europa.eu/gemet/concept/15391,systemic change,
http://www.eionet.europa.eu/gemet/concept/15392,Taxonomy Regulation,
http://www.eionet.europa.eu/gemet/concept/15393,time-horizon mismatch,
http://www.eionet.europa.eu/gemet/concept/1541,code of practice,
http://www.eionet.europa.eu/gemet/concept/1569,colonisation,
http://www.eionet.europa.eu/gemet/concept/1595,commercial vehicle,
http://www.eionet.europa.eu/gemet/concept/1601,common agreement,
http://www.eionet.europa.eu/gemet/concept/1618,community participation,
http://www.eionet.europa.eu/gemet/concept/1630,comparative law,
http://www.eionet.europa.eu/gemet/concept/1631,comparative test,
http://www.eionet.europa.eu/gemet/concept/1633,compensation,
http://www.eionet.europa.eu/gemet/concept/1636,compensatory measure,
http://www.eionet.europa.eu/gemet/concept/1641,competitiveness,
http://www.eionet.europa.eu/gemet/concept/1645,complex formation,
http://www.eionet.europa.eu/gemet/concept/1647,composite pollution,
http://www.eionet.europa.eu/gemet/concept/1663,compulsory use,
http://www.eionet.europa.eu/gemet/concept/1669,European Communities,
